,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0.496,0.502,0.506,0.508,0.508,0.512,0.514,0.513,0.516,0.513,0.514,0.515,0.515,0.513,0.516,0.518,0.52,0.521,0.527,0.532
1,0.509,0.51,0.516,0.517,0.519,0.521,0.519,0.519,0.518,0.517,0.518,0.519,0.518,0.519,0.515,0.517,0.519,0.524,0.529,0.534
2,0.517,0.519,0.518,0.52,0.522,0.524,0.524,0.524,0.525,0.524,0.522,0.522,0.52,0.521,0.521,0.52,0.521,0.527,0.529,0.535
3,0.525,0.525,0.522,0.528,0.53,0.529,0.529,0.53,0.528,0.526,0.524,0.524,0.523,0.523,0.522,0.519,0.523,0.526,0.53,0.533
4,0.528,0.525,0.529,0.526,0.528,0.53,0.532,0.522,0.521,0.52,0.516,0.515,0.515,0.513,0.511,0.52,0.521,0.517,0.521,0.525
5,0.522,0.519,0.519,0.516,0.518,0.519,0.52,0.521,0.52,0.522,0.52,0.517,0.519,0.515,0.511,0.515,0.514,0.517,0.522,0.529
6,0.525,0.52,0.517,0.52,0.52,0.519,0.525,0.522,0.524,0.524,0.522,0.523,0.521,0.518,0.515,0.514,0.513,0.514,0.521,0.528
7,0.527,0.523,0.522,0.52,0.52,0.52,0.524,0.526,0.526,0.525,0.524,0.522,0.52,0.517,0.515,0.516,0.509,0.512,0.518,0.528
8,0.527,0.523,0.521,0.52,0.521,0.522,0.526,0.527,0.529,0.529,0.524,0.521,0.518,0.516,0.51,0.513,0.509,0.514,0.52,0.529
9,0.527,0.519,0.523,0.522,0.523,0.527,0.528,0.533,0.531,0.53,0.528,0.525,0.519,0.523,0.522,0.522,0.52,0.524,0.527,0.527
10,0.53,0.525,0.522,0.525,0.525,0.529,0.53,0.533,0.537,0.535,0.53,0.528,0.526,0.521,0.518,0.516,0.521,0.523,0.528,0.537
11,0.529,0.529,0.525,0.526,0.526,0.53,0.532,0.532,0.534,0.536,0.533,0.531,0.528,0.521,0.519,0.52,0.522,0.524,0.523,0.536
12,0.535,0.526,0.526,0.527,0.529,0.532,0.533,0.534,0.536,0.532,0.533,0.525,0.526,0.521,0.519,0.52,0.522,0.522,0.527,0.536
13,0.536,0.528,0.522,0.525,0.528,0.533,0.535,0.535,0.537,0.534,0.534,0.53,0.527,0.524,0.52,0.519,0.518,0.517,0.525,0.536
14,0.535,0.53,0.527,0.526,0.526,0.532,0.536,0.537,0.535,0.532,0.527,0.526,0.523,0.519,0.517,0.511,0.517,0.517,0.519,0.532
15,0.534,0.527,0.529,0.523,0.525,0.533,0.538,0.535,0.536,0.532,0.529,0.525,0.524,0.516,0.511,0.511,0.512,0.519,0.52,0.533
16,0.534,0.529,0.524,0.526,0.528,0.531,0.534,0.535,0.53,0.529,0.528,0.521,0.522,0.517,0.51,0.511,0.513,0.516,0.518,0.524
17,0.533,0.532,0.53,0.523,0.527,0.532,0.53,0.533,0.53,0.525,0.524,0.501,0.52,0.51,0.513,0.512,0.511,0.509,0.52,0.523
18,0.53,0.53,0.529,0.526,0.526,0.533,0.533,0.532,0.529,0.527,0.521,0.516,0.513,0.51,0.513,0.507,0.508,0.515,0.521,0.529
19,0.532,0.53,0.528,0.526,0.525,0.531,0.531,0.529,0.527,0.524,0.519,0.519,0.514,0.517,0.516,0.511,0.51,0.507,0.519,0.531
20,0.52,0.522,0.525,0.525,0.524,0.525,0.527,0.524,0.521,0.519,0.513,0.513,0.514,0.515,0.509,0.509,0.514,0.517,0.522,0.531
21,0.521,0.517,0.519,0.516,0.521,0.519,0.52,0.521,0.516,0.509,0.513,0.508,0.509,0.511,0.51,0.507,0.507,0.512,0.516,0.524
22,0.509,0.513,0.509,0.514,0.515,0.515,0.514,0.512,0.511,0.509,0.509,0.508,0.509,0.508,0.506,0.508,0.509,0.509,0.516,0.524
23,0.509,0.508,0.508,0.51,0.507,0.506,0.504,0.503,0.498,0.502,0.501,0.5,0.5,0.501,0.504,0.504,0.507,0.511,0.516,0.526
24,0.5,0.503,0.502,0.5,0.502,0.5,0.496,0.498,0.492,0.49,0.492,0.493,0.496,0.493,0.497,0.503,0.506,0.508,0.511,0.516
